site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US-Blo,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.4,20.5,20.5,19.6,24.4,21.6,25.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ha1,-9999.0,-9999.0,26.6,22.5,22.0,21.0,24.6,21.5,23.5,21.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.0,19.5,24.6,-9999.0,28.5,23.5,24.0,24.5,23.0,22.5,24.5,25.5,-9999.0
US-Ho2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.6,-9999.0,29.6,-9999.0
US-IB2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,20.2,22.6,29.0,25.0,25.0,26.5,21.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-ICs,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.4,18.6,-9999.0,25.3,19.6,19.5,19.5,16.5,20.4,20.5,-9999.0
US-ICt,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,19.5,18.5,-9999.0,18.5,20.5,16.6,18.4,-9999.0,21.6
US-KFS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,31.5,28.6,29.3,23.4,-9999.0,29.2,27.7,-9999.0,26.4,-9999.0,-9999.0,-9999.0
US-Los,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,22.5,22.6,23.7,23.4,26.5,21.5,21.5,28.5,24.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,29.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-MMS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.6,25.3,25.4,23.5,24.5,21.0,27.5,31.4,24.7,28.6,24.4,27.6,26.3,25.5,23.5,22.5,25.4,27.5,24.6,-9999.0
US-MOz,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,25.6,27.5,26.4,26.6,25.5,27.7,-9999.0,25.6,22.6,26.5,26.5,25.5,28.5,29.5,25.5,-9999.0,-9999.0
