site,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
US-MMS,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.6,24.4,28.5,28.6,24.5,22.6,21.5,29.6,26.7,28.5,26.2,22.6,24.6,24.5,24.3,27.5,25.4,22.5,27.7,-9999.0
US-MOz,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,27.4,23.4,25.5,26.6,26.5,27.8,-9999.0,27.5,26.6,24.7,25.6,22.8,27.3,23.4,25.5,-9999.0,-9999.0
US-Me2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.5,23.4,26.6,24.7,24.6,-9999.0,25.3,22.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Mpj,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24.3,17.5,24.6,24.3,-9999.0,21.5,22.5,23.4,20.0,21.3,24.5,21.6,23.5,-9999.0
US-Myb,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.5,25.4,24.6,26.4,25.6,23.4,26.4,24.6,26.5,29.5,27.5
US-NR1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,17.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ne1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,32.5,30.5,32.4,29.3,29.5,29.4,30.4,31.3,31.4,31.5,30.6,29.4,30.4,31.5,31.6,27.4,31.6,30.6,30.0,-9999.0
US-Ne2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.4,27.8,25.5,23.6,24.5,29.5,27.5,24.5,24.5,28.5,27.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-Ne3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,28.4,22.9,28.5,24.7,24.4,28.5,30.5,26.6,24.4,28.6,27.6,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
US-ORv,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,26.8,26.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
